starts_at,name,description_short,organization,categories,tickets_limit,moderation_status
2025-11-01T11:00:00+0300,Нейрозавтрак ,"Научитесь делегировать ИИ 70% рутинных задач и работать в 3 раза быстрее. За 2 часа получите готовые промты, чек-лист из 50+ задач для автоматизации и персональный план внедрения в вашей нише.",Илья Шведков,Бизнес,0,featured
2025-11-02T15:00:00+0300,Открытый семинар и нетворкинг!,,Бизнес-Квартира,Бизнес,0,featured
2025-11-03T13:00:00+0300,Бизнес-игра &quot;LikeGame&quot;,ИСКУССТВО ДОГОВАРИВАТЬСЯ: как слова превращаются в деньги,Сообщество ВСмысле,Бизнес,8,featured
